era,design_class,n_patients
2006-2012,balloon-expandable intra-annular TAVR,<5
2006-2012,externally mounted pericardial,<5
2006-2012,self-expanding supra-annular TAVR,<5
2006-2012,"stented bovine pericardial, internally mounted",9
2013-2017,(none identified),<5
2013-2017,balloon-expandable intra-annular TAVR,8
2013-2017,externally mounted pericardial,24
2013-2017,self-expanding supra-annular TAVR,<5
2013-2017,"stented bovine pericardial, internally mounted",9
2013-2017,stentless,<5
2018-2022,(none identified),<5
2018-2022,balloon-expandable intra-annular TAVR,25
2018-2022,self-expanding supra-annular TAVR,<5
2018-2022,"stented bovine pericardial, internally mounted",6
2018-2022,stented porcine,<5
