lab,year,n_patients_with_ge1_result
HbA1c,2009,<5
HbA1c,2010,<5
HbA1c,2011,<5
HbA1c,2012,<5
HbA1c,2013,<5
HbA1c,2014,<5
HbA1c,2015,<5
HbA1c,2016,<5
HbA1c,2017,<5
HbA1c,2018,<5
HbA1c,2019,<5
HbA1c,2021,<5
HbA1c,2022,<5
HbA1c,2023,<5
HbA1c,2024,<5
HbA1c,2025,<5
HbA1c,2026,<5
LDL,2009,<5
LDL,2010,<5
LDL,2011,<5
LDL,2012,<5
LDL,2013,<5
LDL,2021,<5
LDL,2022,<5
LDL,2023,<5
LDL,2025,<5
LDL,2027,<5
LVEF,2009,<5
LVEF,2010,<5
LVEF,2011,5
LVEF,2012,<5
LVEF,2013,5
LVEF,2014,<5
LVEF,2015,<5
LVEF,2016,<5
LVEF,2017,<5
LVEF,2018,<5
LVEF,2019,<5
LVEF,2020,<5
LVEF,2021,<5
LVEF,2022,<5
LVEF,2023,<5
LVEF,2024,<5
LVEF,2025,<5
LVEF,2026,<5
NT_proBNP,2010,<5
NT_proBNP,2012,<5
NT_proBNP,2013,<5
NT_proBNP,2014,<5
NT_proBNP,2015,<5
NT_proBNP,2016,<5
NT_proBNP,2017,<5
NT_proBNP,2018,<5
NT_proBNP,2019,<5
NT_proBNP,2020,<5
NT_proBNP,2021,<5
NT_proBNP,2022,<5
NT_proBNP,2023,<5
NT_proBNP,2025,<5
NT_proBNP,2026,<5
NT_proBNP,2027,<5
calcium,2005,<5
calcium,2009,<5
calcium,2010,<5
calcium,2011,5
calcium,2012,<5
calcium,2013,<5
calcium,2014,<5
calcium,2015,<5
calcium,2016,<5
calcium,2017,<5
calcium,2018,<5
calcium,2019,<5
calcium,2020,<5
calcium,2021,<5
calcium,2022,<5
calcium,2023,<5
calcium,2025,<5
calcium,2026,<5
calcium,2027,<5
creatinine_or_eGFR,2005,<5
creatinine_or_eGFR,2006,<5
creatinine_or_eGFR,2007,<5
creatinine_or_eGFR,2008,<5
creatinine_or_eGFR,2009,<5
creatinine_or_eGFR,2010,5
creatinine_or_eGFR,2011,6
creatinine_or_eGFR,2012,5
creatinine_or_eGFR,2013,5
creatinine_or_eGFR,2014,<5
creatinine_or_eGFR,2015,<5
creatinine_or_eGFR,2016,<5
creatinine_or_eGFR,2017,<5
creatinine_or_eGFR,2018,<5
creatinine_or_eGFR,2019,<5
creatinine_or_eGFR,2020,<5
creatinine_or_eGFR,2021,<5
creatinine_or_eGFR,2022,<5
creatinine_or_eGFR,2023,<5
creatinine_or_eGFR,2025,<5
creatinine_or_eGFR,2026,<5
creatinine_or_eGFR,2027,<5
phosphorus,2010,<5
phosphorus,2020,<5
phosphorus,2023,<5
