year,drug_class,n_patients_exposed
2003,antiplatelet,<5
2003,lipid_lowering,<5
2004,lipid_lowering,<5
2005,lipid_lowering,<5
2006,lipid_lowering,<5
2007,lipid_lowering,<5
2008,lipid_lowering,<5
2009,antiplatelet,<5
2009,glucose_lowering,<5
2009,heparin,<5
2009,lipid_lowering,<5
2009,mineral_metabolism,<5
2010,VKA,<5
2010,antiplatelet,<5
2010,glucose_lowering,<5
2010,heparin,<5
2010,lipid_lowering,5
2010,mineral_metabolism,<5
2011,VKA,<5
2011,antiplatelet,<5
2011,glucose_lowering,<5
2011,heparin,<5
2011,lipid_lowering,7
2011,mineral_metabolism,<5
2012,DOAC,<5
2012,VKA,<5
2012,antiplatelet,<5
2012,glucose_lowering,<5
2012,heparin,<5
2012,lipid_lowering,6
2012,mineral_metabolism,<5
2013,DOAC,<5
2013,VKA,<5
2013,antiplatelet,5
2013,glucose_lowering,<5
2013,heparin,<5
2013,lipid_lowering,7
2013,mineral_metabolism,<5
2014,VKA,<5
2014,antiplatelet,<5
2014,glucose_lowering,<5
2014,lipid_lowering,6
2014,mineral_metabolism,<5
2015,VKA,<5
2015,antiplatelet,<5
2015,glucose_lowering,<5
2015,heparin,<5
2015,lipid_lowering,5
2015,mineral_metabolism,<5
2016,VKA,<5
2016,antiplatelet,<5
2016,glucose_lowering,<5
2016,heparin,<5
2016,lipid_lowering,<5
2016,mineral_metabolism,<5
2017,VKA,<5
2017,antiplatelet,<5
2017,glucose_lowering,<5
2017,lipid_lowering,<5
2017,mineral_metabolism,<5
2018,VKA,<5
2018,antiplatelet,<5
2018,glucose_lowering,<5
2018,heparin,<5
2018,lipid_lowering,<5
2018,mineral_metabolism,<5
2019,VKA,<5
2019,glucose_lowering,<5
2019,lipid_lowering,<5
2019,mineral_metabolism,<5
2020,DOAC,<5
2020,VKA,<5
2020,antiplatelet,<5
2020,glucose_lowering,<5
2020,heparin,<5
2020,lipid_lowering,<5
2020,mineral_metabolism,<5
2021,DOAC,<5
2021,VKA,<5
2021,antiplatelet,<5
2021,glucose_lowering,<5
2021,heparin,<5
2021,lipid_lowering,<5
2021,mineral_metabolism,<5
2022,DOAC,<5
2022,VKA,<5
2022,antiplatelet,<5
2022,glucose_lowering,<5
2022,lipid_lowering,<5
2022,mineral_metabolism,<5
2023,DOAC,<5
2023,VKA,<5
2023,antiplatelet,<5
2023,glucose_lowering,<5
2023,heparin,<5
2023,lipid_lowering,<5
2023,mineral_metabolism,<5
2024,DOAC,<5
2024,glucose_lowering,<5
2024,lipid_lowering,<5
2024,mineral_metabolism,<5
2025,DOAC,<5
2025,glucose_lowering,<5
2025,lipid_lowering,<5
2025,mineral_metabolism,<5
2026,DOAC,<5
2026,glucose_lowering,<5
2026,lipid_lowering,<5
2026,mineral_metabolism,<5
2027,glucose_lowering,<5
