canonical_model,design_class,n_patients
(none identified),(none identified),7
CoreValve,self-expanding supra-annular TAVR,5
Epic,stented porcine,<5
Evolut PRO,self-expanding supra-annular TAVR,<5
Freestyle,stentless,<5
Inspiris RESILIA,"stented bovine pericardial, internally mounted",<5
Magna,"stented bovine pericardial, internally mounted",<5
Perimount,"stented bovine pericardial, internally mounted",28
SAPIEN 3,balloon-expandable intra-annular TAVR,17
SAPIEN 3 Ultra,balloon-expandable intra-annular TAVR,15
SAPIEN XT,balloon-expandable intra-annular TAVR,<5
Trifecta,externally mounted pericardial,21
Trifecta GT,externally mounted pericardial,8
