nct_id,study_title,arm,device,outcome_title,outcome_description,time_frame,value,unit,n_analysed,result_type,category,durability_related,retrieved_at
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Bioprosthesis, Models 11000A & 11000M",COMMENCE (Inspiris RESILIA),Subjects With Structural Valve Deterioration,"The rate of implanted subjects that experience structural valve deterioration (SVD) of the trial valve by the time of the post operative day (POD) 390 follow-up visit. Structural valve deterioration includes dysfunction or deterioration intrinsic to the valve. Examples of SVD includes complications such as wear, fracture, calcification, leaflet tear.",1 Year Post Implant,1,Participants,716,COUNT_OF_PARTICIPANTS,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 19mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",13.8,mmHg,22,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 21mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",10.7,mmHg,131,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 23mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",9.4,mmHg,214,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 25mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",8.7,mmHg,202,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 27mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",6.8,mmHg,100,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 29mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",4.7,mmHg,20,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - Total",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",9.1,mmHg,689,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 19mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",17.6,mmHg,22,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 21mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",12.6,mmHg,131,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 23mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",10.1,mmHg,214,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 25mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",9.6,mmHg,202,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 27mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",8.2,mmHg,100,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - Total",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",10.4,mmHg,689,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 19mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",16.1,mmHg,22,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 21mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",11.2,mmHg,131,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 23mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",9.9,mmHg,214,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 25mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",9.2,mmHg,202,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 27mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",8.3,mmHg,100,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - Total",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000A,Mean gradient is the average flow of blood through the aortic valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Year Post Implant",10.1,mmHg,689,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 25mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",5.6,mmHg,6,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 27mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",4.1,mmHg,29,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 29mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",4.0,mmHg,25,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 31mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",3.4,mmHg,16,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 33mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",3.3,mmHg,6,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - Total",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",4.0,mmHg,82,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 25mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",4.9,mmHg,6,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 27mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",4.1,mmHg,29,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 29mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",4.1,mmHg,25,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 31mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",3.9,mmHg,16,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 33mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",3.3,mmHg,6,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - Total",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",4.0,mmHg,82,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 27mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",3.9,mmHg,29,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 29mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",3.8,mmHg,25,MEAN,,True,2026-09-16T12:17:58Z
