canonical_model,alias,alias_type,notes
Avalus,Avalus™,gudid_brand,brandName observed in GUDID this session
Avalus Ultra,Avalus Ultra™,gudid_brand,brandName observed in GUDID this session
CoreValve,CoreValue,abbreviation,common misspelling seen in real notes
CoreValve,CoreValve™,gudid_brand,brandName observed in GUDID this session
CoreValve,CoreValve™ Evolut™,gudid_brand,brandName observed in GUDID this session
Crown PRT,CROWN PRT,gudid_brand,brandName observed in GUDID this session
Epic,Epic™,gudid_brand,brandName observed in GUDID this session
Evolut FX,Evolut™ FX,gudid_brand,brandName observed in GUDID this session
Evolut FX+,Evolut™ FX+,gudid_brand,brandName observed in GUDID this session
Evolut PRO,CoreValve™ Evolut™ PRO,gudid_brand,brandName observed in GUDID this session
Evolut PRO,EnVeo™ PRO,gudid_brand,brandName observed in GUDID this session
Evolut PRO+,Evolut Corevalue Pro+,regex,misspelling ('Corevalue' for CoreValve) observed in real notes
Evolut PRO+,Evolut™ PRO+,gudid_brand,brandName observed in GUDID this session
Evolut R,CoreValve™ Evolut™ R,gudid_brand,brandName observed in GUDID this session
Evolut R,EnVeo™ R,gudid_brand,brandName observed in GUDID this session
Evolut R,Evolut Corevalue R,regex,misspelling variant
Evolut R,R\s?34\s*mm,regex,"size-suffixed shorthand, R-series 34mm"
Freestyle,FREESTYLE®,gudid_brand,brandName observed in GUDID this session
Hancock II,HANCOCK® II,gudid_brand,brandName observed in GUDID this session
Hancock II Ultra,HANCOCK II ULTRA®,gudid_brand,brandName observed in GUDID this session
INTUITY Elite,EDWARDS INTUITY ELITE AORTIC VALVE,gudid_brand,brandName observed in GUDID this session
INTUITY Elite,EDWARDS INTUITY ELITE VALVE SYSTEM,gudid_brand,brandName observed in GUDID this session
Inspiris RESILIA,INSPIRIS RESILIA AORTIC VALVE,gudid_brand,brandName observed in GUDID this session
Inspiris RESILIA,Inspiris,abbreviation,bare 'Inspiris' free-text form
JenaValve (Trilogy),Trilogy Transcatheter Heart Valve,gudid_brand,brandName observed in GUDID this session
Konect (legacy pre-RESILIA),CARPENTIER-EDWARDS BIOPROSTHETIC VALVED CONDUIT,gudid_brand,brandName observed in GUDID this session
