canonical_model,manufacturer,brand_name_gudid,model_or_catalog_number,primary_di,product_code,route,design_class,tissue,leaflet_mounting,tissue_treatment,generation,sizes_mm,market_status,fda_pma,source,confidence,retrieved_at
Crown PRT,Corcym (formerly Sorin/LivaNova),CROWN PRT,CNA19;CNA21;CNA23;CNA25;CNA27,00896208000504;00896208000511;00896208000528;00896208000535;00896208000542,unknown,SAVR,externally mounted pericardial,bovine pericardial,external,none,"Mitroflow successor, Pericardial Reduced Thickness leaflet",19;21;23;25;27,active,TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
Mitroflow,Corcym (formerly Sorin/LivaNova),MITROFLOW;MITROFLOW VALSALVA CONDUIT,DLA19;DLA21;DLA23;DLA25;DLA27;LXA19;LXA21;LXA23;LXA25;LXA27;MVC;MVC26;MVC28,00896208000092;00896208000108;00896208000115;00896208000122;00896208000139;00896208000153;00896208000160;00896208000177;00896208000184;00896208000191;08022057014924;08022057014931;08022057014948;08022057014955,unknown,SAVR,externally mounted pericardial,bovine pericardial,external,none,legacy externally-mounted pericardial platform,19;21;23;25;26;27;28,discontinued (superseded by Crown PRT; exact discontinuation year not verified this session),P060038,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: openFDA /device/pma.json applicant:corcym, verified 2026-09-16; SSED PDF not found at accessdata (404), see MANIFEST.csv",high,2026-09-16T17:43:44Z
Trifecta,Abbott (St. Jude Medical),Trifecta™,TF-19A;TF-21A;TF-23A;TF-25A;TF-27A;TF-29A;TFGT-19A;TFGT-21A;TFGT-23A;TFGT-25A;TFGT-27A;TFGT-29A,05414734052016;05414734052023;05414734052030;05414734052047;05414734052054;05414734052061;05415067018205;05415067018212;05415067018229;05415067018236;05415067018243;05415067018250,unknown,SAVR,externally mounted pericardial,bovine pericardial,external,unknown,1st-generation Trifecta (~2011),19;21;23;25;27;29,"withdrawn (US market withdrawal July 2023, per FDA correspondence February 2023; manufacturer wind-down reported starting late 2022)",P100029,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: openFDA /device/pma.json trade_name:trifecta, verified 2026-09-16",high,2026-09-16T17:43:44Z
Trifecta GT,Abbott (St. Jude Medical),,,,unknown,SAVR,externally mounted pericardial,bovine pericardial,external,XenoLogiX,Trifecta with Glide Technology (~2016); XenoLogiX anticalcification tissue treatment,,"withdrawn (same action as Trifecta, US market withdrawal 2023)",P100029,domain knowledge (industry/regulatory public record); NOT found in this session's GUDID brand-name match -- verify manually at accessgudid.nlm.nih.gov if a DI list is required (FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov)),low,2026-09-16T17:43:44Z
Avalus,Medtronic,Avalus™,40019;40021;40023;40025;40027;40029,00643169983175;00643169983182;00643169983199;00643169983205;00643169983212;00643169983229,SAVR,SAVR,"stented bovine pericardial, internally mounted",bovine pericardial,internal,Linx,"Medtronic SAVR pericardial platform, FDA approved 2017; Linx AC anticalcification treatment",19;21;23;25;27;29,active,P170006,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: openFDA /device/pma.json trade_name:avalus, verified 2026-09-16",high,2026-09-16T17:43:44Z
Avalus Ultra,Medtronic,Avalus Ultra™,400U19;400U21;400U23;400U25;400U27;400U29,00763000647025;00763000647032;00763000647049;00763000647056;00763000647063;00763000647070,unknown,SAVR,"stented bovine pericardial, internally mounted",bovine pericardial,internal,Linx,Avalus low-profile size variant,19;21;23;25;27;29,active,P170006,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: supplement to Avalus PMA, verified 2026-09-16",high,2026-09-16T17:43:44Z
Inspiris RESILIA,Edwards Lifesciences,INSPIRIS RESILIA AORTIC VALVE,11500A,00690103194968;00690103194975;00690103194982;00690103194999;00690103195002;00690103195019,unknown,SAVR,"stented bovine pericardial, internally mounted",bovine pericardial,internal,RESILIA,"newest-generation Edwards SAVR platform (FDA approved 2019); integrated annulus expansion (VFit), designed with future ViV in mind",19;21;23;25;27;29,active,P150048,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: per task brief URL, SSED downloaded 2026-09-16",high,2026-09-16T17:43:44Z
Konect (legacy pre-RESILIA),Edwards Lifesciences,CARPENTIER-EDWARDS BIOPROSTHETIC VALVED CONDUIT,4300,00690103021783;00690103021790;00690103021806;00690103021813;00690103021820;00690103021837;00690103021844;00690103021851,SAVR,SAVR,"stented bovine pericardial, internally mounted",bovine pericardial,internal,none,predecessor valved-conduit product sharing the Konect graft platform before the RESILIA tissue rebrand; GUDID brand text 'Carpentier-Edwards Bioprosthetic Valved Conduit',14;15;16;17;18;20;21;22;23;25;27;30;31,discontinued (superseded by Konect RESILIA; exact year not verified this session),TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
Konect RESILIA,Edwards Lifesciences,KONECT RESILIA,11060A,00690103193855;00690103201369;00690103201376;00690103201383;00690103201390;00690103201406,unknown,SAVR,"stented bovine pericardial, internally mounted",bovine pericardial,internal,RESILIA,"valved conduit (BioBentall) combining Inspiris-platform RESILIA leaflets with a Dacron graft, for aortic root replacement",19;21;23;25;27;29,active,TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
Magna,Edwards Lifesciences,CARPENTIER-EDWARDS PERIMOUNT MAGNA PERICARDIAL BIOPROSTHESIS - AORTIC,3000;3000TFX,00690103162233;00690103162257;00690103162264;00690103162288;00690103163636;00690103163643;00690103163650;00690103163667;00690103163674;00690103163681,SAVR,SAVR,"stented bovine pericardial, internally mounted",bovine pericardial,internal,none,2nd-generation Perimount platform (~2007),19;21;23;25;27;29,discontinued (superseded by Magna Ease),P860057,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: supplement to original Perimount PMA, verified 2026-09-16",high,2026-09-16T17:43:44Z
