document,canonical_model,design_class,event,population,time_point,n_events,denominator,pct,follow_up_duration,page,definition,confidence,retrieved_at
P140031B_SAPIEN3_original_SSED.pdf,SAPIEN 3,balloon-expandable intra-annular TAVR,"composite: death, stroke, AI>=moderate",S3OUS AT overall,30 days,13,88,14.8,30 days,36,"CEC-adjudicated, S3OUS AT (all-treated) population, Table 22",high,2026-09-16T17:43:46Z
P140031B_SAPIEN3_original_SSED.pdf,SAPIEN 3,balloon-expandable intra-annular TAVR,"composite: death, stroke, AI>=moderate",S3OUS AT overall,1 year,25,82,30.5,1 year,36,"CEC-adjudicated, Table 22",high,2026-09-16T17:43:46Z
P140031B_SAPIEN3_original_SSED.pdf,SAPIEN 3,balloon-expandable intra-annular TAVR,"death, all-cause",S3OUS AT overall,30 days,8,102,7.8,30 days,36,"CEC-adjudicated, Table 22",high,2026-09-16T17:43:46Z
P140031B_SAPIEN3_original_SSED.pdf,SAPIEN 3,balloon-expandable intra-annular TAVR,"death, all-cause",S3OUS AT overall,1 year,20,102,19.6,1 year,36,"CEC-adjudicated, Table 22",high,2026-09-16T17:43:46Z
P140031B_SAPIEN3_original_SSED.pdf,SAPIEN 3,balloon-expandable intra-annular TAVR,"death, cardiovascular",S3OUS AT overall,30 days,7,102,6.9,30 days,36,"CEC-adjudicated, Table 22",high,2026-09-16T17:43:46Z
P140031B_SAPIEN3_original_SSED.pdf,SAPIEN 3,balloon-expandable intra-annular TAVR,"death, cardiovascular",S3OUS AT overall,1 year,9,102,8.8,1 year,36,"CEC-adjudicated, Table 22",high,2026-09-16T17:43:46Z
P140031B_SAPIEN3_original_SSED.pdf,SAPIEN 3,balloon-expandable intra-annular TAVR,stroke,S3OUS AT overall,30 days,3,102,2.9,30 days,36,"CEC-adjudicated, Table 22",high,2026-09-16T17:43:46Z
P140031B_SAPIEN3_original_SSED.pdf,SAPIEN 3,balloon-expandable intra-annular TAVR,stroke,S3OUS AT overall,1 year,5,102,4.9,1 year,36,"CEC-adjudicated, Table 22",high,2026-09-16T17:43:46Z
P140031B_SAPIEN3_original_SSED.pdf,SAPIEN 3,balloon-expandable intra-annular TAVR,aortic insufficiency >= moderate,S3OUS AT overall,30 days,3,81,3.7,30 days,36,"CEC-adjudicated, Table 22",high,2026-09-16T17:43:46Z
P140031B_SAPIEN3_original_SSED.pdf,SAPIEN 3,balloon-expandable intra-annular TAVR,aortic insufficiency >= moderate,S3OUS AT overall,1 year,1,62,1.6,1 year,36,"CEC-adjudicated, Table 22",high,2026-09-16T17:43:46Z
P150048B_InspirisResilia_original_SSED.pdf,Inspiris RESILIA,"stented bovine pericardial, internally mounted",structural valve deterioration,female (of 689 enrolled),1 year,0,,100.0,1 year,20,"KM event-free probability, Table 11; text states explicitly 'No cases of valve thrombosis and structural valve deterioration were observed for either cohort'",high,2026-09-16T17:43:46Z
P150048B_InspirisResilia_original_SSED.pdf,Inspiris RESILIA,"stented bovine pericardial, internally mounted",structural valve deterioration,male (of 689 enrolled),1 year,0,,100.0,1 year,20,"KM event-free probability, Table 11; 0 events in either sex",high,2026-09-16T17:43:46Z
P150048B_InspirisResilia_original_SSED.pdf,Inspiris RESILIA,"stented bovine pericardial, internally mounted",death (KM event-free %),female,1 year,,,99.5,1 year,20,"KM event-free probability, Table 11",medium,2026-09-16T17:43:46Z
P150048B_InspirisResilia_original_SSED.pdf,Inspiris RESILIA,"stented bovine pericardial, internally mounted",death (KM event-free %),male,1 year,,,96.9,1 year,20,"KM event-free probability, Table 11",medium,2026-09-16T17:43:46Z
P150048B_InspirisResilia_original_SSED.pdf,Inspiris RESILIA,"stented bovine pericardial, internally mounted",reoperation (KM event-free %),female,1 year,,,99.5,1 year,20,Table 11,medium,2026-09-16T17:43:46Z
P150048B_InspirisResilia_original_SSED.pdf,Inspiris RESILIA,"stented bovine pericardial, internally mounted",reoperation (KM event-free %),male,1 year,,,99.7,1 year,20,Table 11,medium,2026-09-16T17:43:46Z
P150048B_InspirisResilia_original_SSED.pdf,Inspiris RESILIA,"stented bovine pericardial, internally mounted",thromboembolism (KM event-free %),female,1 year,,,97.9,1 year,20,Table 11,medium,2026-09-16T17:43:46Z
P150048B_InspirisResilia_original_SSED.pdf,Inspiris RESILIA,"stented bovine pericardial, internally mounted",thromboembolism (KM event-free %),male,1 year,,,95.9,1 year,20,Table 11,medium,2026-09-16T17:43:46Z
P150048B_InspirisResilia_original_SSED.pdf,Inspiris RESILIA,"stented bovine pericardial, internally mounted",endocarditis (KM event-free %),female,1 year,,,100.0,1 year,20,Table 11,medium,2026-09-16T17:43:46Z
P150048B_InspirisResilia_original_SSED.pdf,Inspiris RESILIA,"stented bovine pericardial, internally mounted",endocarditis (KM event-free %),male,1 year,,,99.0,1 year,20,Table 11,medium,2026-09-16T17:43:46Z
