brand_query,canonical_model,reports_total,reports_svd_like,years_covered,query_string,retrieved_at,caveat
Crown PRT valve,Crown PRT,0,0,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Crown PRT valve"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Mitroflow,Mitroflow,678,398,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Mitroflow"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Trifecta,Trifecta,2925,1870,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Trifecta"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Trifecta GT,Trifecta GT,686,475,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Trifecta GT"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Avalus,Avalus,779,266,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Avalus"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Avalus Ultra,Avalus Ultra,123,36,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Avalus Ultra"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Inspiris RESILIA,Inspiris RESILIA,2577,1184,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Inspiris RESILIA"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Konect (legacy pre-RESILIA),Konect (legacy pre-RESILIA),0,0,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Konect (legacy pre-RESILIA)"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Konect RESILIA,Konect RESILIA,145,32,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Konect RESILIA"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Magna,Magna,19424,10350,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Magna"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Magna Ease,Magna Ease,8680,4800,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Magna Ease"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Perimount,Perimount,29951,14823,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Perimount"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Epic valve,Epic,413,256,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Epic valve"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Epic Supra valve,Epic Supra,259,168,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Epic Supra valve"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Hancock II,Hancock II,1623,560,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Hancock II"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Hancock II Ultra,Hancock II Ultra,0,0,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Hancock II Ultra"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Mosaic valve,Mosaic,1,0,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Mosaic valve"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Mosaic Ultra valve,Mosaic Ultra,0,0,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Mosaic Ultra valve"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Freestyle valve,Freestyle,1,0,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Freestyle valve"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
