valve_model,valve_model_clean,position,size_mm,n,mean_gradient_mmHg_mean,mean_gradient_sd,peak_velocity,peak_gradient_mmHg_mean,peak_gradient_mmHg_sd,eoa_cm2_mean,eoa_sd,dvi_mean,dvi_sd,canonical_model,source_table,source_page,confidence,source,retrieved_at
SAPIEN,SAPIEN,aortic,23,,9.92,4.27,,,,1.56,0.43,0.53,0.13,SAPIEN,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
SAPIEN,SAPIEN,aortic,26,,8.76,3.89,,,,1.84,0.52,0.53,0.13,SAPIEN,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
SAPIENXT,SAPIENXT,aortic,23,,10.41,3.74,,,,1.41,0.3,0.52,0.1,SAPIEN XT,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
SAPIENXT,SAPIENXT,aortic,26,,9.24,3.57,,,,1.74,0.42,0.54,0.11,SAPIEN XT,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
SAPIENXT,SAPIENXT,aortic,29,,8.36,3.14,,,,2.06,0.52,0.53,0.11,SAPIEN XT,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
SAPIEN3,SAPIEN3,aortic,20,,16.23,5.01,,,,1.22,0.22,0.42,0.07,SAPIEN 3,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
SAPIEN3,SAPIEN3,aortic,23,,12.79,4.65,,,,1.45,0.26,0.43,0.08,SAPIEN 3,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
SAPIEN3,SAPIEN3,aortic,26,,10.59,3.88,,,,1.74,0.35,0.43,0.09,SAPIEN 3,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
SAPIEN3,SAPIEN3,aortic,29,,9.28,3.16,,,,1.89,0.37,0.4,0.09,SAPIEN 3,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CoreValve,CoreValve,aortic,23,,14.43,5.72,,,,1.12,0.36,0.44,0.09,CoreValve,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
