population,threshold,assess_all,assess_none,varc3_rule,model,model_alert_rate,reference,reference_alert_rate,calendar,calendar_alert_rate
all_landmarks,0.01,-0.006793257785788877,0.0,-5.080303681218875e-06,0.0017024234381208124,0.04251939071114849,0.0,0.0,0.0,0.0
all_landmarks,0.02,-0.0170663873447781,0.0,-1.02642870294014e-05,0.0010786912646527258,0.01831604522941781,0.0,0.0,0.0,0.0
all_landmarks,0.03,-0.027551334008076387,0.0,-1.5555156632185625e-05,0.0007467037432175114,0.010559760770021494,0.0,0.0,0.0,0.0
all_landmarks,0.04,-0.03825471706019338,0.0,-2.095625268502786e-05,0.00047900675112063826,0.007102139986917111,0.0,0.0,0.0,0.0
all_landmarks,0.05,-0.04918343449235494,0.0,-2.6471056023193088e-05,0.00010890256380209997,0.005139706569479488,0.0,0.0,0.0,0.0
all_landmarks,0.06,-0.060344677827328455,0.0,-3.210319560259586e-05,0.0001388332335286968,0.0038314176245210726,0.0,0.0,0.0,0.0
all_landmarks,0.07,-0.07174594790068851,0.0,-3.7856456463276145e-05,-6.703571335790807e-05,0.003270722362396038,0.0,0.0,0.0,0.0
all_landmarks,0.08,-0.0833950716712955,0.0,-4.373478821223205e-05,-7.573282122196868e-05,0.0028969255209793476,0.0,0.0,0.0,0.0
all_landmarks,0.09,-0.0953002201401576,0.0,-4.9742314065560626e-05,-4.9969821338202795e-05,0.00224278104850014,0.0,0.0,0.0,0.0
all_landmarks,0.1,-0.10746992746388331,0.0,-5.5883340493407625e-05,-4.670656723820939e-05,0.0017755349967292777,0.0,0.0,0.0,0.0
all_landmarks,0.11,-0.11991311135668146,0.0,-6.216236751513882e-05,-2.5694504999703105e-05,0.0012148397346042426,0.0,0.0,0.0,0.0
all_landmarks,0.12,-0.13263909488340686,0.0,-6.85840996964548e-05,-3.8496945740367264e-05,0.0012148397346042426,0.0,0.0,0.0,0.0
all_landmarks,0.13,-0.14565762975557434,0.0,-7.515345790492751e-05,-3.70431028589434e-05,0.00112139052425007,0.0,0.0,0.0,0.0
all_landmarks,0.14,-0.1589789212526758,0.0,-8.187559188569024e-05,-3.2767825647178285e-05,0.0010279413138958977,0.0,0.0,0.0,0.0
all_landmarks,0.15,-0.1726136549026503,0.0,-8.875589372482387e-05,-2.602512984482733e-05,0.0008410428931875525,0.0,0.0,0.0,0.0
primary_population,0.01,-0.007274876692910029,0.0,0.0,0.001271925042026188,0.035223205876812956,0.0,0.0,0.0,0.0
primary_population,0.02,-0.017552928596969285,0.0,0.0,0.0007867616844865825,0.011584102467508005,0.0,0.0,0.0,0.0
primary_population,0.03,-0.028042899096988518,0.0,0.0,0.0005562768536777188,0.005368242606893954,0.0,0.0,0.0,0.0
primary_population,0.04,-0.0387514106490915,0.0,0.0,0.00027759535048790877,0.003296289320022603,0.0,0.0,0.0,0.0
primary_population,0.05,-0.049685364549659786,0.0,0.0,0.0001050274485620332,0.001977773592013562,0.0,0.0,0.0,0.0
primary_population,0.06,-0.06085195576726144,0.0,0.0,0.00013607683222629873,0.0012243360331512525,0.0,0.0,0.0,0.0
primary_population,0.07,-0.07225868873147823,0.0,0.0,4.62955098672079e-05,0.0007534375588623093,0.0,0.0,0.0,0.0
primary_population,0.08,-0.08391339415143884,0.0,0.0,4.640296749538665e-05,0.0006592578640045206,0.0,0.0,0.0,0.0
primary_population,0.09,-0.09582424694326667,0.0,0.0,6.921602278636602e-05,0.00037671877943115466,0.0,0.0,0.0,0.0
primary_population,0.1,-0.10799978535269071,0.0,0.0,6.55469637582206e-05,0.00037671877943115466,0.0,0.0,0.0,0.0
primary_population,0.11,-0.12044893136682087,0.0,0.0,7.43044335498243e-05,0.000282539084573366,0.0,0.0,0.0,0.0
primary_population,0.12,-0.13318101251763587,0.0,0.0,7.175991212786978e-05,0.000282539084573366,0.0,0.0,0.0,0.0
primary_population,0.13,-0.1462057851891593,0.0,0.0,8.381221452021498e-05,0.00018835938971557733,0.0,0.0,0.0,0.0
primary_population,0.14,-0.15953345955071804,0.0,0.0,9.893540091434405e-05,9.417969485778867e-05,0.0,0.0,0.0,0.0
primary_population,0.15,-0.17317472625019584,0.0,0.0,9.893540091434405e-05,9.417969485778867e-05,0.0,0.0,0.0,0.0
