policy,route,patients,patient_years,echoes,echoes_per_1000py,crossers,detected,detected_pct,delay_median_months,delay_p90_months,early_positives,early_positives_per_1000py,patients_alerted_pct
annual,all,2390,10557.1,9357,886.3,182,112,61.5,7.1,14.6,48,4.5,0.0
annual+kairos@0.02,all,2390,10530.0,9514,903.5,182,117,64.3,6.2,10.5,58,5.5,6.1
annual+kairos@0.05,all,2390,10547.1,9389,890.2,182,113,62.1,6.7,12.3,52,4.9,1.7
annual+kairos@0.1,all,2390,10553.5,9361,887.0,182,112,61.5,6.9,14.5,50,4.7,0.3
acc_aha,all,2390,10681.1,4639,434.3,182,62,34.1,9.9,21.8,20,1.9,0.0
acc_aha+kairos@0.02,all,2390,10638.9,4708,442.5,182,81,44.5,8.9,20.6,27,2.5,1.8
acc_aha+kairos@0.05,all,2390,10669.4,4657,436.5,182,69,37.9,9.2,21.0,20,1.9,0.4
acc_aha+kairos@0.1,all,2390,10681.1,4639,434.3,182,62,34.1,9.9,21.8,20,1.9,0.0
annual,SAVR,1184,6098.2,5500,901.9,148,94,63.5,7.0,14.4,36,5.9,0.0
annual,TAVR,1206,4458.9,3857,865.0,34,18,52.9,7.4,18.2,12,2.7,0.0
annual+kairos@0.02,SAVR,1184,6073.1,5649,930.2,148,100,67.6,6.1,10.2,45,7.4,11.2
annual+kairos@0.02,TAVR,1206,4456.9,3865,867.2,34,17,50.0,6.9,15.5,13,2.9,1.1
annual+kairos@0.05,SAVR,1184,6088.7,5532,908.6,148,95,64.2,6.6,12.1,40,6.6,3.4
annual+kairos@0.05,TAVR,1206,4458.4,3857,865.1,34,18,52.9,7.4,14.6,12,2.7,0.1
annual+kairos@0.1,SAVR,1184,6094.6,5504,903.1,148,94,63.5,6.9,14.2,38,6.2,0.7
annual+kairos@0.1,TAVR,1206,4458.9,3857,865.0,34,18,52.9,7.4,18.2,12,2.7,0.0
acc_aha,SAVR,1184,6222.2,782,125.7,148,44,29.7,10.9,23.3,8,1.3,0.0
acc_aha,TAVR,1206,4458.9,3857,865.0,34,18,52.9,7.4,18.2,12,2.7,0.0
acc_aha+kairos@0.02,SAVR,1184,6182.0,843,136.4,148,64,43.2,10.2,20.5,14,2.3,2.6
acc_aha+kairos@0.02,TAVR,1206,4456.9,3865,867.2,34,17,50.0,6.9,15.5,13,2.9,1.1
acc_aha+kairos@0.05,SAVR,1184,6211.0,800,128.8,148,51,34.5,10.5,21.9,8,1.3,0.7
acc_aha+kairos@0.05,TAVR,1206,4458.4,3857,865.1,34,18,52.9,7.4,14.6,12,2.7,0.1
acc_aha+kairos@0.1,SAVR,1184,6222.2,782,125.7,148,44,29.7,10.9,23.3,8,1.3,0.0
acc_aha+kairos@0.1,TAVR,1206,4458.9,3857,865.0,34,18,52.9,7.4,18.2,12,2.7,0.0
