policy,route,patients,patient_years,echoes,echoes_per_1000py,crossers,detected,detected_pct,delay_median_months,delay_p90_months,early_positives,early_positives_per_1000py,patients_alerted_pct
annual,all,2390,10434.1,9255,887.0,214,152,71.0,6.6,12.0,40,3.8,0.0
annual+kairos@0.02,all,2390,10413.8,9387,901.4,214,157,73.4,5.9,11.3,48,4.6,4.9
annual+kairos@0.05,all,2390,10429.3,9277,889.5,214,155,72.4,6.4,11.6,42,4.0,1.0
annual+kairos@0.1,all,2390,10434.0,9259,887.4,214,153,71.5,6.7,11.9,40,3.8,0.3
acc_aha,all,2390,10624.8,4626,435.4,214,88,41.1,13.4,33.9,16,1.5,0.0
acc_aha+kairos@0.02,all,2390,10585.9,4698,443.8,214,102,47.7,10.3,33.0,24,2.3,1.8
acc_aha+kairos@0.05,all,2390,10613.9,4635,436.7,214,93,43.5,12.0,33.2,17,1.6,0.3
acc_aha+kairos@0.1,all,2390,10620.3,4629,435.9,214,90,42.1,13.4,33.4,16,1.5,0.1
annual,SAVR,1184,5993.0,5411,902.9,174,126,72.4,6.7,11.7,29,4.8,0.0
annual,TAVR,1206,4441.1,3844,865.6,40,26,65.0,5.0,17.6,11,2.5,0.0
annual+kairos@0.02,SAVR,1184,5974.7,5537,926.7,174,132,75.9,6.1,10.9,36,6.0,9.0
annual+kairos@0.02,TAVR,1206,4439.1,3850,867.3,40,25,62.5,3.9,15.7,12,2.7,1.0
annual+kairos@0.05,SAVR,1184,5988.7,5433,907.2,174,129,74.1,6.6,11.5,31,5.2,1.9
annual+kairos@0.05,TAVR,1206,4440.6,3844,865.6,40,26,65.0,5.0,15.1,11,2.5,0.1
annual+kairos@0.1,SAVR,1184,5992.9,5415,903.6,174,127,73.0,6.7,11.6,29,4.8,0.5
annual+kairos@0.1,TAVR,1206,4441.1,3844,865.6,40,26,65.0,5.0,17.6,11,2.5,0.0
acc_aha,SAVR,1184,6183.7,782,126.5,174,62,35.6,16.6,38.3,5,0.8,0.0
acc_aha,TAVR,1206,4441.1,3844,865.6,40,26,65.0,5.0,17.6,11,2.5,0.0
acc_aha+kairos@0.02,SAVR,1184,6146.8,848,138.0,174,77,44.3,14.1,36.0,12,2.0,2.7
acc_aha+kairos@0.02,TAVR,1206,4439.1,3850,867.3,40,25,62.5,3.9,15.7,12,2.7,1.0
acc_aha+kairos@0.05,SAVR,1184,6173.3,791,128.1,174,67,38.5,15.1,37.3,6,1.0,0.5
acc_aha+kairos@0.05,TAVR,1206,4440.6,3844,865.6,40,26,65.0,5.0,15.1,11,2.5,0.1
acc_aha+kairos@0.1,SAVR,1184,6179.2,785,127.0,174,64,36.8,15.6,37.9,5,0.8,0.2
acc_aha+kairos@0.1,TAVR,1206,4441.1,3844,865.6,40,26,65.0,5.0,17.6,11,2.5,0.0
