policy,route,patients,patient_years,echoes,echoes_per_1000py,crossers,detected,detected_pct,delay_median_months,delay_p90_months,early_positives,early_positives_per_1000py,patients_alerted_pct
annual,all,2390,10281.1,9129,887.9,266,219,82.3,6.1,11.6,21,2.0,0.0
annual+kairos@0.02,all,2390,10263.1,9486,924.3,266,222,83.5,5.2,11.4,26,2.5,7.2
annual+kairos@0.05,all,2390,10279.8,9150,890.1,266,219,82.3,6.1,11.6,22,2.1,0.8
annual+kairos@0.1,all,2390,10281.1,9130,888.0,266,219,82.3,6.1,11.6,21,2.0,0.0
acc_aha,all,2390,10520.9,4603,437.5,266,142,53.4,12.0,37.2,9,0.9,0.0
acc_aha+kairos@0.02,all,2390,10471.6,4949,472.6,266,156,58.6,8.6,36.0,19,1.8,5.0
acc_aha+kairos@0.05,all,2390,10511.7,4614,438.9,266,145,54.5,11.5,36.9,11,1.0,0.3
acc_aha+kairos@0.1,all,2390,10520.9,4604,437.6,266,142,53.4,12.0,37.2,9,0.9,0.0
annual,SAVR,1184,5870.2,5308,904.2,208,171,82.2,6.3,11.6,16,2.7,0.0
annual,TAVR,1206,4410.9,3821,866.3,58,48,82.8,4.6,17.4,5,1.1,0.0
annual+kairos@0.02,SAVR,1184,5852.2,5660,967.2,208,174,83.7,5.4,11.1,21,3.6,14.3
annual+kairos@0.02,TAVR,1206,4410.9,3826,867.4,58,48,82.8,4.6,17.4,5,1.1,0.3
annual+kairos@0.05,SAVR,1184,5868.9,5329,908.0,208,171,82.2,6.3,11.5,17,2.9,1.5
annual+kairos@0.05,TAVR,1206,4410.9,3821,866.3,58,48,82.8,4.6,17.4,5,1.1,0.0
annual+kairos@0.1,SAVR,1184,5870.2,5309,904.4,208,171,82.2,6.3,11.6,16,2.7,0.1
annual+kairos@0.1,TAVR,1206,4410.9,3821,866.3,58,48,82.8,4.6,17.4,5,1.1,0.0
acc_aha,SAVR,1184,6110.0,782,128.0,208,94,45.2,18.8,41.7,4,0.7,0.0
acc_aha,TAVR,1206,4410.9,3821,866.3,58,48,82.8,4.6,17.4,5,1.1,0.0
acc_aha+kairos@0.02,SAVR,1184,6060.7,1123,185.3,208,108,51.9,13.5,39.5,14,2.3,9.8
acc_aha+kairos@0.02,TAVR,1206,4410.9,3826,867.4,58,48,82.8,4.6,17.4,5,1.1,0.3
acc_aha+kairos@0.05,SAVR,1184,6100.8,793,130.0,208,97,46.6,18.5,41.6,6,1.0,0.7
acc_aha+kairos@0.05,TAVR,1206,4410.9,3821,866.3,58,48,82.8,4.6,17.4,5,1.1,0.0
acc_aha+kairos@0.1,SAVR,1184,6110.0,783,128.2,208,94,45.2,18.8,41.7,4,0.7,0.1
acc_aha+kairos@0.1,TAVR,1206,4410.9,3821,866.3,58,48,82.8,4.6,17.4,5,1.1,0.0
